::1 - - [23/Jun/2022:00:51:45 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "https://174.138.19.161/" "Mozilla/5.0 (X11; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/baykas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/deegiis HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:48:20 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:48:36 +0000] "GET /api/v1/users/6271fd32c36872e4d55ee64a HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:48:36 +0000] "GET /api/v1/technos/6242b7d81aaad439817a4c66 HTTP/1.0" 200 16242 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:49:18 +0000] "GET /api/v1/users/6271fd32c36872e4d55ee64a HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:49:29 +0000] "GET /api/v1/users/6271fd32c36872e4d55ee64a HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:49:43 +0000] "PUT /api/v1/users/6271fd32c36872e4d55ee64a HTTP/1.0" 200 213 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:49:43 +0000] "GET /api/v1/users/6271fd32c36872e4d55ee64a HTTP/1.0" 200 213 "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::ffff:127.0.0.1 - - [23/Jun/2022:06:49:49 +0000] "GET /api/v1/users/6271fd32c36872e4d55ee64a HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:49:52 +0000] "GET /api/v1/users/6271fd32c36872e4d55ee64a HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1333.0.4 Darwin/21.5.0"
::1 - - [23/Jun/2022:06:50:58 +0000] "GET /api/v1/webworks?limit=10 HTTP/1.0" 200 792 "http://ihelp.mn/" "Mozilla/5.0 (Linux; Android 12; SM-N971N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.61 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:06:50:58 +0000] "GET /upload/webwork__627e1aa7c36872e4d55f0cbf.jpg HTTP/1.0" 404 183 "http://ihelp.mn/" "Mozilla/5.0 (Linux; Android 12; SM-N971N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.61 Mobile Safari/537.36"
::1 - - [23/Jun/2022:07:39:08 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::1 - - [23/Jun/2022:07:40:59 +0000] "GET /api/v1/webworks?limit=10 HTTP/1.0" 304 - "http://ihelp.mn/" "Mozilla/5.0 (Linux; Android 12; SM-N971N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.61 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:07:40:59 +0000] "GET /upload/webwork__627e1aa7c36872e4d55f0cbf.jpg HTTP/1.0" 404 183 "http://ihelp.mn/" "Mozilla/5.0 (Linux; Android 12; SM-N971N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.61 Mobile Safari/537.36"
::1 - - [23/Jun/2022:08:15:55 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::1 - - [23/Jun/2022:08:20:57 +0000] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:08:36:37 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://icareer.mn/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/102.0.5005.115 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:08:59:24 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://icareer.mn/" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.5005.115 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::ffff:127.0.0.1 - - [23/Jun/2022:09:36:49 +0000] "GET /api/v1/articles/62a84134182f7ca23c90d09b HTTP/1.0" 200 7309 "https://icareer.mn/" "Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 239.2.0.17.109 (iPhone10,3; iOS 15_4_1; en_MN; en-MN; scale=3.00; 1125x2436; 376668393)"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:22 +0000] "POST / HTTP/1.0" 404 140 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:22 +0000] "GET /Portal0000.htm HTTP/1.0" 404 153 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:22 +0000] "GET /ZAXi HTTP/1.0" 404 143 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:22 +0000] "GET /menu.asp HTTP/1.0" 404 147 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:22 +0000] "GET /CSS/Miniweb.css HTTP/1.0" 404 154 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:22 +0000] "GET /nmaplowercheck1655977222 HTTP/1.0" 404 163 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:22 +0000] "POST /sdk HTTP/1.0" 404 143 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:23 +0000] "GET /Portal/Portal.mwsl HTTP/1.0" 404 157 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:23 +0000] "GET /.git/HEAD HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:23 +0000] "GET /__Additional HTTP/1.0" 404 151 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:23 +0000] "GET /HNAP1 HTTP/1.0" 404 144 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:23 +0000] "GET /base.jsa HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:23 +0000] "POST /scripts/WPnBr.dll HTTP/1.0" 404 157 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:23 +0000] "GET /pools/default/buckets HTTP/1.0" 404 160 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:24 +0000] "GET /docs/cplugError.html/ HTTP/1.0" 404 160 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:24 +0000] "GET /home.php HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:24 +0000] "GET /tomcatwar.jsp HTTP/1.0" 404 152 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:24 +0000] "GET /pools HTTP/1.0" 404 144 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:25 +0000] "GET /localstart.aspx HTTP/1.0" 404 154 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:25 +0000] "GET /tomcatwar.jsp?pwd=j&cmd=id HTTP/1.0" 404 152 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:26 +0000] "GET /main.php HTTP/1.0" 404 147 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:26 +0000] "GET /ghksjdghdfksanitycheckqwerjlhfgjksdghlid HTTP/1.0" 404 179 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:27 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:27 +0000] "GET /base.aspx HTTP/1.0" 404 148 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:28 +0000] "GET /menu.pl HTTP/1.0" 404 146 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:29 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:29 +0000] "GET /inicio.cfm HTTP/1.0" 404 149 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:30 +0000] "GET /indice.cfm HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:40:31 +0000] "GET /start.cfm HTTP/1.0" 404 148 "-" "curl/7.54.0"
::1 - - [23/Jun/2022:09:40:32 +0000] "GET /menu.jhtml HTTP/1.0" 404 149 "-" "curl/7.54.0"
::ffff:127.0.0.1 - - [23/Jun/2022:09:54:02 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.0" 404 189 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::1 - - [23/Jun/2022:10:02:39 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:10:15:33 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::1 - - [23/Jun/2022:10:35:11 +0000] "GET /index.php?s=/Index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP21 HTTP/1.0" 404 148 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:10:38:57 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://www.icareer.mn/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/102.0.5005.115 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:11:37:50 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36"
::1 - - [23/Jun/2022:12:38:22 +0000] "GET /.aws/credentials HTTP/1.0" 404 155 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:53 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:53 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:53 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:53 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:53 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:53 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:53 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/baykas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/bataas HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/deegiis HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:56:54 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1327.0.4 Darwin/21.2.0"
::ffff:127.0.0.1 - - [23/Jun/2022:12:58:23 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [23/Jun/2022:12:58:24 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [23/Jun/2022:12:59:03 +0000] "GET /api/v1/users/62904f8b9eaf6f8bd9ccf63f HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:03 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:03 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:03 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:03 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:03 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:03 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [23/Jun/2022:12:59:04 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [23/Jun/2022:16:09:34 +0000] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.0" 404 154 "-" "Python-urllib/3.8"
::1 - - [23/Jun/2022:16:16:40 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Googlebot-Image/1.0"
::ffff:127.0.0.1 - - [23/Jun/2022:17:09:58 +0000] "GET /api/v1/articles/62a84134182f7ca23c90d09b HTTP/1.0" 200 7309 "https://icareer.mn/" "Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/18D70 [FBAN/FBIOS;FBDV/iPhone13,3;FBMD/iPhone;FBSN/iOS;FBSV/14.4.2;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]"
::1 - - [23/Jun/2022:17:36:13 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:17:36:14 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:18 +0000] "POST /api/v1/users/login HTTP/1.0" 200 454 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:19 +0000] "GET /api/v1/users/62442011c506a9eeac7ee463 HTTP/1.0" 200 180 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:19 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:19 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:19 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:19 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:19 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10198 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:20 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 200 237 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:21 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 200 766 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:18:20:21 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 200 12003 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::ffff:127.0.0.1 - - [23/Jun/2022:18:20:21 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "Career%20developer/1.0.9 CFNetwork/1331.0.7 Darwin/21.4.0"
::1 - - [23/Jun/2022:19:55:09 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::1 - - [23/Jun/2022:20:19:21 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [23/Jun/2022:20:19:22 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [23/Jun/2022:20:28:21 +0000] "GET /owa/auth/logon.aspx HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [23/Jun/2022:20:29:58 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.0" 404 214 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [23/Jun/2022:22:12:51 +0000] "GET /assets/global/plugins/jquery-file-upload/server/php/index.php?secure=1 HTTP/1.0" 404 200 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::ffff:127.0.0.1 - - [23/Jun/2022:22:12:53 +0000] "GET /assets/plugins/jquery-file-upload/server/php/index.php?secure=1 HTTP/1.0" 404 193 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::1 - - [23/Jun/2022:22:12:55 +0000] "GET /assets/jquery-file-upload/server/php/index.php?secure=1 HTTP/1.0" 404 185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
::ffff:127.0.0.1 - - [23/Jun/2022:22:12:57 +0000] "GET /phpformbuilder/plugins/jQuery-File-Upload/server/php/index.php?secure=1 HTTP/1.0" 404 201 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
