::ffff:127.0.0.1 - - [15/Aug/2022:00:01:31 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://www.icareer.mn/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.136 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:08:08:33 +0000] "GET /robots.txt HTTP/1.0" 404 149 "http://novelistgroup.com/robots.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
::1 - - [15/Aug/2022:08:08:34 +0000] "GET /humans.txt HTTP/1.0" 404 149 "http://novelistgroup.com/humans.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:08:08:35 +0000] "GET /ads.txt HTTP/1.0" 404 146 "http://novelistgroup.com/ads.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:36 +0000] "GET /api/v1/users/undefined HTTP/1.0" 500 250 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/odkos HTTP/1.0" 200 10199 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 200 19072 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/binances HTTP/1.0" 200 19696 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/bolors HTTP/1.0" 200 19139 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/tops HTTP/1.0" 200 4811 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/technos HTTP/1.0" 200 16321 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/coins HTTP/1.0" 200 12866 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/baykas HTTP/1.0" 200 28804 "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/binances HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/ariunzayas HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/bolors HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/bataas HTTP/1.0" 200 17214 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/odkos HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/works?select=createdAt&sort=-createdAt&limit=1 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:37 +0000] "GET /api/v1/deegiis HTTP/1.0" 200 15902 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:38 +0000] "GET /api/v1/headerBanners?limit=10 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:08:36:38 +0000] "GET /api/v1/works?limit=100 HTTP/1.0" 304 - "-" "okhttp/3.14.9"
::ffff:127.0.0.1 - - [15/Aug/2022:08:36:38 +0000] "GET /api/v1/magazines?limit=50 HTTP/1.0" 200 194113 "-" "okhttp/3.14.9"
::1 - - [15/Aug/2022:09:23:04 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [15/Aug/2022:09:23:07 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "http://novelistgroup.com/favicon.ico" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::1 - - [15/Aug/2022:09:23:28 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:13:29:21 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [15/Aug/2022:13:29:22 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:13:33:23 +0000] "GET /api/v1/webworks?limit=10 HTTP/1.0" 304 - "http://ihelp.mn/" "Mozilla/5.0 (Linux; Android 11; M2104K10AC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36"
::1 - - [15/Aug/2022:13:33:23 +0000] "GET /upload/webwork__627e1aa7c36872e4d55f0cbf.jpg HTTP/1.0" 404 183 "http://ihelp.mn/" "Mozilla/5.0 (Linux; Android 11; M2104K10AC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Mobile Safari/537.36"
::1 - - [15/Aug/2022:13:47:13 +0000] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.0" 404 179 "https://novelistgroup.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:13:47:13 +0000] "GET /fonts/glyphicons-halflings-regular.woff HTTP/1.0" 404 178 "https://novelistgroup.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
::1 - - [15/Aug/2022:13:47:13 +0000] "GET /fonts/glyphicons-halflings-regular.ttf HTTP/1.0" 404 177 "https://novelistgroup.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:13:47:13 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "https://novelistgroup.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:13:47:20 +0000] "GET /api/v1/articles?limit=3&sort=-createdAt HTTP/1.0" 200 26380 "https://icareer.mn/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.81 Safari/537.36"
::1 - - [15/Aug/2022:14:10:20 +0000] "GET /robots.txt HTTP/1.0" 404 149 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
::1 - - [15/Aug/2022:14:21:25 +0000] "GET /upload/photo_626a74fcc36872e4d55eb274.jpeg HTTP/1.0" 404 181 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
::ffff:127.0.0.1 - - [15/Aug/2022:15:42:44 +0000] "GET /api/v1/webworks?limit=10 HTTP/1.0" 200 792 "http://www.ihelp.mn/" "Mozilla/5.0 (Linux; Android 11; SM-F711B Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/379.0.0.24.109;]"
::1 - - [15/Aug/2022:15:42:44 +0000] "GET /upload/webwork__627e1aa7c36872e4d55f0cbf.jpg HTTP/1.0" 404 183 "http://www.ihelp.mn/" "Mozilla/5.0 (Linux; Android 11; SM-F711B Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/379.0.0.24.109;]"
::1 - - [15/Aug/2022:15:54:31 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
::1 - - [15/Aug/2022:18:58:35 +0000] "GET /owa/auth/logon.aspx HTTP/1.0" 404 158 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [15/Aug/2022:19:02:13 +0000] "GET /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application HTTP/1.0" 404 214 "-" "Mozilla/5.0 zgrab/0.x"
::1 - - [15/Aug/2022:19:02:43 +0000] "GET /owa/auth/x.js HTTP/1.0" 404 152 "-" "Mozilla/5.0 zgrab/0.x"
::ffff:127.0.0.1 - - [15/Aug/2022:19:51:33 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:19:51:40 +0000] "GET /favicon.ico HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:20:09:48 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [15/Aug/2022:20:18:12 +0000] "GET /wp-login.php HTTP/1.0" 404 151 "http://novelistgroup.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96"
::ffff:127.0.0.1 - - [15/Aug/2022:21:34:06 +0000] "GET /.git/config HTTP/1.0" 404 150 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:22:59:41 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
